# R appU appV SNR contamination
132.3 22.2927992209 21.1927992209 10.5946492401 0.000581936685289
132.4 22.2944399255 21.1944399255 10.5680931665 0.00140023337223
132.5 22.2960793914 21.1960793914 10.5416124399 0.00127758420441
132.6 22.2977176203 21.1977176203 10.5152068553 0.00069987169019
132.7 22.2993546143 21.1993546143 10.4888762082 0.00139713587146
132.8 22.3009903752 21.2009903752 10.4626202943 0.0010460251046
132.9 22.3026249047 21.2026249047 10.4364389094 0.0016231884058
133.0 22.3042582048 21.2042582048 10.4103318498 0.000815850815851
133.1 22.3058902774 21.2058902774 10.3842989118 0.000819096653405
133.2 22.3075211242 21.2075211242 10.358339892 0.000937536622524
133.3 22.3091507471 21.2091507471 10.3324545875 0.00105226236408
133.4 22.3107791479 21.2107791479 10.3066427953 0.00103878116343
133.5 22.3124063285 21.2124063285 10.280904313 0.000699626865672
133.6 22.3140322907 21.2140322907 10.2552389382 0.00186806771745
133.7 22.3156570363 21.2156570363 10.229646469 0.00176720075401
133.8 22.3172805672 21.2172805672 10.2041267036 0.00199483689275
133.9 22.3189028851 21.2189028851 10.1786794406 0.00151745068285
134.0 22.3205239918 21.2205239918 10.1533044787 0.00175274596868
134.1 22.3221438893 21.2221438893 10.1280016173 0.00175008750438
134.2 22.3237625792 21.2237625792 10.1027706556 0.00128309809868
134.3 22.3253800633 21.2253800633 10.0776113933 0.00163037149179
134.4 22.3269963436 21.2269963436 10.0525236306 0.0024595924104
134.5 22.3286114217 21.2286114217 10.0275071677 0.00176180408739
134.6 22.3302252994 21.2302252994 10.0025618052 0.00211168465509
134.7 22.3318379786 21.2318379786 9.97768734409 0.00165035954261
134.8 22.333449461 21.233449461 9.95288358555 0.00177032928125
134.9 22.3350597484 21.2350597484 9.92815033114 0.00269068788021
135.0 22.3366688425 21.2366688425 9.90348738274 0.00234549079395
135.1 22.3382767451 21.2382767451 9.87889454252 0.00188523624367
135.2 22.339883458 21.239883458 9.85437161299 0.00248285646725
135.3 22.341488983 21.241488983 9.82991839698 0.0023537719195
135.4 22.3430933217 21.2430933217 9.80553469763 0.00261158594492
135.5 22.3446964761 21.2446964761 9.78122031845 0.0017572633552
135.6 22.3462984477 21.2462984477 9.75697506324 0.00269953051643
135.7 22.3478992383 21.2478992383 9.73279873615 0.00271354412459
135.8 22.3494988497 21.2494988497 9.70869114167 0.00293358366581
135.9 22.3510972837 21.2510972837 9.68465208463 0.0017821076393
136.0 22.3526945419 21.2526945419 9.6606813702 0.003546518501
136.1 22.354290626 21.254290626 9.63677880388 0.0021218908405
136.2 22.3558855379 21.2558855379 9.61294419155 0.00377759414473
136.3 22.3574792792 21.2574792792 9.5891773394 0.00272092748137
136.4 22.3590718516 21.2590718516 9.56547805401 0.00364405783472
136.5 22.3606632569 21.2606632569 9.54184614227 0.00269699812383
136.6 22.3622534967 21.2622534967 9.51828141145 0.00259250530285
136.7 22.3638425728 21.2638425728 9.49478366919 0.00304806565064
136.8 22.3654304869 21.2654304869 9.47135272346 0.00296033155713
136.9 22.3670172407 21.2670172407 9.44798838261 0.00366777094179
137.0 22.3686028358 21.2686028358 9.42469045535 0.00426186811886
137.1 22.3701872739 21.2701872739 9.40145875075 0.00271034645298
137.2 22.3717705569 21.2717705569 9.37829307825 0.00329450523591
137.3 22.3733526862 21.2733526862 9.35519324767 0.00441347270616
137.4 22.3749336636 21.2749336636 9.33215906918 0.00509613157285
137.5 22.3765134908 21.2765134908 9.30919035334 0.00224639394656
137.6 22.3780921695 21.2780921695 9.28628691107 0.00476577937929
